"band","var","mean","sd"
"Tempérée N (30-60°N)","ULWRF",369.827473879662,32.6942016444889
"Tempérée N (30-60°N)","USWRF",26.1581169194091,8.15789093927112
"Boréale (60-90°N)","ALBDO",25.8547356595332,14.4820985861285
"Boréale (60-90°N)","APCP",0.282665882259413,0.0569894078629408
"Boréale (60-90°N)","CDUVB",1.95505000728929,1.8957432438977
"Boréale (60-90°N)","CSDLF",204.589438935911,39.0815847462132
"Boréale (60-90°N)","CSDSF",140.513811583873,129.188289461428
"Boréale (60-90°N)","CSULF",285.603231571382,42.2051061728447
"Boréale (60-90°N)","CSUSF",56.3119239160239,53.2438429326287
"Boréale (60-90°N)","DLWRF",245.451746353732,43.5618224826611
"Boréale (60-90°N)","DSWRF",97.8638914271388,90.334691611294
"Boréale (60-90°N)","DUVB",1.56025853857482,1.50603985332853
"Boréale (60-90°N)","PRMSL",101272.481888265,323.172700267687
"Boréale (60-90°N)","PWAT",7.84003744268283,4.54507544907563
"Boréale (60-90°N)","SPFH2m",0.00263917827235339,0.00152697181779452
"Boréale (60-90°N)","T2m",265.179796415432,10.2496756495332
"Boréale (60-90°N)","T500",243.092322153197,6.51063349891167
"Boréale (60-90°N)","TCDC",78.263858333443,2.98546404176588
"Boréale (60-90°N)","ULWRF",285.565593643081,42.2411261191979
"Boréale (60-90°N)","USWRF",41.7454175600325,40.8328355252321
"Global","ALBDO",10.5524952066963,0.984747080623822
"Global","APCP",0.530025236168308,0.0200447945516042
"Global","CDUVB",3.96801470368802,0.138743365072613
"Global","CSDLF",315.693282382512,7.25101620143789
"Global","CSDSF",245.897417406641,7.17645406523779
"Global","CSULF",398.019968778834,6.85054430021663
"Global","CSUSF",32.9171606181813,2.95891379269855
"Global","DLWRF",341.071295445009,7.09904688143147
"Global","DSWRF",194.028948614381,5.87566903053397
"Global","DUVB",3.34001333645497,0.116321080424924
"Global","PRMSL",101143.253547389,14.7927575078257
"Global","PWAT",24.6846286425802,1.35171734134255
"Global","SPFH2m",0.00990970996393833,0.000391943476686937
"Global","T2m",287.68803251027,1.39903031960196
"Global","T500",258.588631219246,0.897513851380041
"Global","TCDC",60.5077945896928,2.30446378479852
"Global","ULWRF",398.022395669063,6.84066773727972
"Global","USWRF",26.1651811186856,2.84552443149136
