"zone","type","var","p_x_to_co2","p_co2_to_x","sens"
"temperate_S","bande","APCP",0.396994959576208,0.695325825459298,"none"
"temperate_S","bande","TCDC",0.000236788464220468,0.528289746450011,"X -> CO2"
"temperate_S","bande","DLWRF",0.0175283761702794,0.914597033787246,"X -> CO2"
"temperate_S","bande","ULWRF",0.0822686706479326,0.239676111817359,"none"
"temperate_S","bande","DSWRF",0.0679263264965616,0.969663173985598,"none"
"temperate_S","bande","USWRF",0.0171998154932066,0.783250278697246,"X -> CO2"
"temperate_S","bande","PRMSL",0.381454557273331,0.444070267375026,"none"
"temperate_S","bande","CSDSF",0.83593841813553,0.948287995984952,"none"
"temperate_S","bande","CSUSF",0.11814647712356,0.430240204710776,"none"
"temperate_S","bande","CSDLF",0.370128381391628,0.434349962630342,"none"
"temperate_S","bande","CSULF",0.0829921444248194,0.244172222101454,"none"
"temperate_S","bande","CDUVB",0.986976307961444,0.660389962653911,"none"
"temperate_S","bande","DUVB",0.129902904489416,0.938556890854232,"none"
"temperate_S","bande","ALBDO",0.104055746766231,0.309594083826965,"none"
"tropical","bande","T2m",3.65259347013519e-12,0.00316963646058796,"bidirectional"
"tropical","bande","T500",9.40246452370933e-14,0.000106799593669737,"bidirectional"
"tropical","bande","SPFH2m",3.3501197836959e-10,0.00127034164030157,"bidirectional"
"tropical","bande","PWAT",2.49800281661892e-09,0.00954302996535113,"bidirectional"
"tropical","bande","APCP",0.00264544482515689,0.0435334176203092,"bidirectional"
"tropical","bande","TCDC",0.403228980379299,0.318947514981376,"none"
"tropical","bande","DLWRF",3.86454480079281e-09,0.00757836710223261,"bidirectional"
"tropical","bande","ULWRF",3.45558807027642e-11,0.00785713137460992,"bidirectional"
"tropical","bande","DSWRF",0.0918625667145752,0.500868743775624,"none"
"tropical","bande","USWRF",0.0861020493928345,0.972224061591372,"none"
"tropical","bande","PRMSL",0.00213468654074565,0.109860808016881,"X -> CO2"
"tropical","bande","CSDSF",0.330734329016268,0.132781694349244,"none"
"tropical","bande","CSUSF",0.0477853717191689,0.297149889081398,"X -> CO2"
"tropical","bande","CSDLF",4.88635409613222e-11,0.00539133006010602,"bidirectional"
"tropical","bande","CSULF",3.5398753976376e-11,0.00758036424634134,"bidirectional"
"tropical","bande","CDUVB",0.783254136368886,0.299272625734666,"none"
"tropical","bande","DUVB",0.436668573702737,0.709210298584019,"none"
"tropical","bande","ALBDO",0.697921050668519,0.361757715015575,"none"
"Amazonie","hotspot","T2m",2.1412921785881e-10,0.000846385620721776,"bidirectional"
"Amazonie","hotspot","PWAT",0.391429902269376,0.0223620871401008,"CO2 -> X"
"Amazonie","hotspot","APCP",2.44509322297844e-06,0.00195172034804225,"bidirectional"
"Amazonie","hotspot","TCDC",3.24356430689493e-05,0.000432799097061356,"bidirectional"
"Indonesie","hotspot","T2m",2.07933498017928e-05,3.28906272762469e-06,"bidirectional"
"Indonesie","hotspot","PWAT",0.000125946823799933,0.000757925023059996,"bidirectional"
"Indonesie","hotspot","APCP",0.000119538655242633,0.0832163865947034,"X -> CO2"
"Indonesie","hotspot","TCDC",1.46062261190695e-05,0.0356347676054286,"bidirectional"
"Siberie","hotspot","T2m",0.000295994841897773,0.927635865817806,"X -> CO2"
"Siberie","hotspot","PWAT",0.0391108366489085,0.840846111012081,"X -> CO2"
"Siberie","hotspot","APCP",0.189574395012131,0.945868988457933,"none"
"Siberie","hotspot","TCDC",0.304553029407975,0.995812855598903,"none"
"Sahel","hotspot","T2m",0.0806189864634811,0.077171459872736,"none"
"Sahel","hotspot","PWAT",0.0547036784506471,0.333115350109435,"none"
"Sahel","hotspot","APCP",0.528930781100157,0.351432112418703,"none"
"Sahel","hotspot","TCDC",0.94722560325406,0.182954402145826,"none"
