"date","year","month","CRE_SW","CRE_LW","CRE_net"
1990-09-01,1990,9,-46.3834990475015,26.358463295667,-20.0250357518345
1990-10-01,1990,10,-47.1812804469911,26.071871431547,-21.1094090154441
1990-11-01,1990,11,-49.1984629314507,26.458099629388,-22.7403633020627
1990-12-01,1990,12,-49.8284182810125,26.2574178109809,-23.5710004700316
1991-01-01,1991,1,-50.1273992956391,25.510973838135,-24.6164254575041
1991-02-01,1991,2,-46.4450157290073,24.897616096277,-21.5473996327302
1991-03-01,1991,3,-46.4219257084858,25.79385515344,-20.6280705550458
1991-04-01,1991,4,-41.8046935992389,25.248562856376,-16.5561307428629
1991-05-01,1991,5,-41.8102403576012,25.755028810171,-16.0552115474302
1991-06-01,1991,6,-43.5944855668192,26.05665888647,-17.5378266803492
1991-07-01,1991,7,-43.5735295418068,25.5456780086849,-18.0278515331218
1991-08-01,1991,8,-45.1076581587198,25.925639268945,-19.1820188897748
1991-09-01,1991,9,-43.4805191532393,25.691440190199,-17.7890789630403
1991-10-01,1991,10,-44.897452701513,26.210971398386,-18.686481303127
1991-11-01,1991,11,-45.650887763477,25.8771802296801,-19.7737075337969
1991-12-01,1991,12,-47.4630643293364,25.938277951182,-21.5247863781544
1992-01-01,1992,1,-47.1123370157961,25.534901647811,-21.5774353679851
1992-02-01,1992,2,-44.4839699141815,24.6952525390969,-19.7887173750846
1992-03-01,1992,3,-43.2712553668375,25.206905381316,-18.0643499855215
1992-04-01,1992,4,-40.7011290395791,25.58697203747,-15.1141570021091
1992-05-01,1992,5,-39.170404360389,25.201034140569,-13.96937021982
1992-06-01,1992,6,-41.9682471181308,25.887248252505,-16.0809988656258
1992-07-01,1992,7,-43.1807473725596,25.848605323435,-17.3321420491246
1992-08-01,1992,8,-43.9360507411881,25.711196972932,-18.2248537682561
1992-09-01,1992,9,-45.5844471696198,26.4354953555351,-19.1489518140847
1992-10-01,1992,10,-45.8047324906702,26.057441667727,-19.7472908229432
1992-11-01,1992,11,-48.2046714857639,26.712937401128,-21.4917340846359
1992-12-01,1992,12,-49.0751339606871,26.4033767831031,-22.671757177584
1993-01-01,1993,1,-46.5758293514041,25.01049046119,-21.5653388902141
1993-02-01,1993,2,-46.3440598816346,25.291044991458,-21.0530148901766
1993-03-01,1993,3,-42.5029551062493,25.346544402926,-17.1564107033233
1993-04-01,1993,4,-41.8207549526461,25.390065837018,-16.4306891156281
1993-05-01,1993,5,-41.458127817667,25.9954618233531,-15.4626659943139
