"date","observed","trend_ssm","slope_ssm"
1989-09-01,350.57,353.21523136272,0.127084519120614
1989-10-01,351.86,353.323313875498,0.12679689136125
1989-11-01,353.04,353.299628346833,0.12655919606648
1989-12-01,353.91,353.445664138395,0.126315038127004
1990-01-01,354.48,353.552666449191,0.126077288458166
1990-02-01,354.88,353.627020953142,0.125856701233323
1990-03-01,355.2,353.67662869224,0.125661414628988
1990-04-01,355.51,353.750851368606,0.125483196217579
1990-05-01,355.41,353.803518769477,0.125329139247237
1990-06-01,354.33,353.723779831046,0.125243127132406
1990-07-01,352.71,353.867804766039,0.125150882914479
1990-08-01,351.58,354.193891446805,0.124991964997324
1990-09-01,351.79,354.435231362732,0.124794440976285
1990-10-01,353.19,354.653313875497,0.124565962486673
1990-11-01,354.45,354.709628346823,0.124360130929275
1990-12-01,355.19,354.725664138401,0.1241902431136
1991-01-01,355.76,354.832666449192,0.124026058527724
1991-02-01,356.19,354.937020953149,0.123868401277081
1991-03-01,356.69,355.166628692241,0.123675658029411
1991-04-01,357.19,355.430851368598,0.123436279041732
1991-05-01,357.11,355.503518769483,0.123213745976724
1991-06-01,356.18,355.573779831037,0.123008783456099
1991-07-01,354.53,355.687804766024,0.122806801919535
1991-08-01,353.06,355.673891446805,0.122650186297519
1991-09-01,352.93,355.575231362733,0.122567004949337
1991-10-01,354.01,355.473313875507,0.122558311132358
1991-11-01,355.16,355.419628346831,0.122608097829512
1991-12-01,355.95,355.4856641384,0.122676656119246
1992-01-01,356.54,355.612666449188,0.122743779087841
1992-02-01,356.89,355.637020953147,0.122843549185554
1992-03-01,357.27,355.746628692246,0.12294771113594
1992-04-01,357.76,356.000851368606,0.123008313961268
1992-05-01,357.83,356.223518769474,0.123035848313696
1992-06-01,356.87,356.263779831037,0.123090848659215
1992-07-01,355.19,356.347804766023,0.123158811697326
1992-08-01,353.66,356.273891446811,0.123292166408413
1992-09-01,353.58,356.225231362738,0.123482577615915
1992-10-01,354.81,356.273313875501,0.123698007766281
1992-11-01,355.99,356.249628346827,0.123962342122291
1992-12-01,356.74,356.275664138396,0.124259170068034
1993-01-01,357.2,356.272666449193,0.12459822386726
1993-02-01,357.54,356.287020953149,0.12497385828926
1993-03-01,357.94,356.416628692244,0.125347955115777
1993-04-01,358.41,356.650851368602,0.125685925575091
1993-05-01,358.38,356.773518769475,0.126024897628994
1993-06-01,357.34,356.733779831043,0.12641887276481
1993-07-01,355.7,356.857804766033,0.126813642247321
1993-08-01,354.41,357.023891446806,0.127195380309915
1993-09-01,354.47,357.115231362732,0.127589015786874
1993-10-01,355.72,357.183313875503,0.128002396469648
1993-11-01,356.96,357.219628346832,0.128446200666842
1993-12-01,357.87,357.405664138395,0.128870895720205
1994-01-01,358.48,357.552666449195,0.129289574481158
1994-02-01,359,357.747020953138,0.129686663661839
1994-03-01,359.36,357.83662869224,0.130097051668265
1994-04-01,359.71,357.950851368611,0.13051270704534
1994-05-01,359.74,358.133518769477,0.130911056664027
1994-06-01,358.8,358.193779831044,0.13133284907675
1994-07-01,357.27,358.427804766031,0.13172056661918
1994-08-01,356.06,358.673891446797,0.132070335662747
1994-09-01,356.02,358.665231362737,0.132466801301829
1994-10-01,357.27,358.733313875512,0.132884630673675
1994-11-01,358.69,358.949628346821,0.133274776695115
1994-12-01,359.54,359.075664138397,0.133667324727156
1995-01-01,360.12,359.192666449195,0.134065402476342
1995-02-01,360.61,359.357020953145,0.134453429819064
1995-03-01,361.08,359.556628692241,0.134819837923868
